threshold	false_positive_rate	true_positive_rate
0.01	0.03804347826086957	0.9982517482517482
0.02	0.03804347826086957	0.9982517482517482
0.03	0.036231884057971016	0.9982517482517482
0.04	0.034420289855072464	0.9982517482517482
0.05	0.034420289855072464	0.9982517482517482
0.060000000000000005	0.030797101449275364	0.9965034965034965
0.06999999999999999	0.030797101449275364	0.9965034965034965
0.08	0.030797101449275364	0.9965034965034965
0.09	0.030797101449275364	0.9965034965034965
0.09999999999999999	0.030797101449275364	0.9965034965034965
0.11	0.030797101449275364	0.9965034965034965
0.12	0.030797101449275364	0.9965034965034965
0.13	0.030797101449275364	0.9947552447552448
0.14	0.030797101449275364	0.9947552447552448
0.15000000000000002	0.030797101449275364	0.9947552447552448
0.16	0.030797101449275364	0.9947552447552448
0.17	0.030797101449275364	0.9947552447552448
0.18000000000000002	0.030797101449275364	0.9947552447552448
0.19	0.030797101449275364	0.9947552447552448
0.2	0.030797101449275364	0.9947552447552448
0.21000000000000002	0.030797101449275364	0.9947552447552448
0.22	0.028985507246376812	0.9947552447552448
0.23	0.028985507246376812	0.9947552447552448
0.24000000000000002	0.028985507246376812	0.9947552447552448
0.25	0.028985507246376812	0.9947552447552448
0.26	0.02717391304347826	0.9947552447552448
0.27	0.02717391304347826	0.9947552447552448
0.28	0.025362318840579712	0.993006993006993
0.29000000000000004	0.025362318840579712	0.993006993006993
0.3	0.025362318840579712	0.9912587412587412
0.31	0.025362318840579712	0.9912587412587412
0.32	0.025362318840579712	0.9912587412587412
0.33	0.025362318840579712	0.9912587412587412
0.34	0.025362318840579712	0.9912587412587412
0.35000000000000003	0.025362318840579712	0.9912587412587412
0.36000000000000004	0.025362318840579712	0.9912587412587412
0.37	0.025362318840579712	0.9912587412587412
0.38	0.025362318840579712	0.9912587412587412
0.39	0.025362318840579712	0.9912587412587412
0.4	0.025362318840579712	0.9912587412587412
0.41000000000000003	0.025362318840579712	0.9912587412587412
0.42000000000000004	0.025362318840579712	0.9912587412587412
0.43	0.025362318840579712	0.9912587412587412
0.44	0.025362318840579712	0.9912587412587412
0.45	0.025362318840579712	0.9912587412587412
0.46	0.025362318840579712	0.9912587412587412
0.47000000000000003	0.025362318840579712	0.9912587412587412
0.48000000000000004	0.025362318840579712	0.9895104895104895
0.49	0.025362318840579712	0.9895104895104895
0.5	0.025362318840579712	0.9895104895104895
0.51	0.025362318840579712	0.986013986013986
0.52	0.025362318840579712	0.986013986013986
0.53	0.025362318840579712	0.986013986013986
0.54	0.025362318840579712	0.986013986013986
0.55	0.025362318840579712	0.986013986013986
0.56	0.025362318840579712	0.9842657342657343
0.5700000000000001	0.025362318840579712	0.9842657342657343
0.5800000000000001	0.025362318840579712	0.9842657342657343
0.59	0.025362318840579712	0.9842657342657343
0.6	0.025362318840579712	0.9842657342657343
0.61	0.025362318840579712	0.9842657342657343
0.62	0.025362318840579712	0.9842657342657343
0.63	0.025362318840579712	0.9825174825174825
0.64	0.025362318840579712	0.9807692307692307
0.65	0.025362318840579712	0.9807692307692307
0.66	0.025362318840579712	0.9807692307692307
0.67	0.025362318840579712	0.9807692307692307
0.68	0.025362318840579712	0.9807692307692307
0.6900000000000001	0.025362318840579712	0.9807692307692307
0.7000000000000001	0.025362318840579712	0.9807692307692307
0.7100000000000001	0.025362318840579712	0.9807692307692307
0.72	0.025362318840579712	0.9807692307692307
0.73	0.025362318840579712	0.9807692307692307
0.74	0.025362318840579712	0.9807692307692307
0.75	0.025362318840579712	0.9807692307692307
0.76	0.025362318840579712	0.9807692307692307
0.77	0.025362318840579712	0.9807692307692307
0.78	0.025362318840579712	0.9807692307692307
0.79	0.025362318840579712	0.9807692307692307
0.8	0.025362318840579712	0.9807692307692307
0.81	0.025362318840579712	0.9807692307692307
0.8200000000000001	0.025362318840579712	0.9807692307692307
0.8300000000000001	0.025362318840579712	0.9807692307692307
0.8400000000000001	0.02355072463768116	0.9790209790209791
0.85	0.02355072463768116	0.9790209790209791
0.86	0.02355072463768116	0.9790209790209791
0.87	0.02355072463768116	0.9790209790209791
0.88	0.02355072463768116	0.9772727272727273
0.89	0.021739130434782608	0.9772727272727273
0.9	0.021739130434782608	0.9772727272727273
0.91	0.021739130434782608	0.9772727272727273
0.92	0.021739130434782608	0.9772727272727273
0.93	0.021739130434782608	0.9772727272727273
0.9400000000000001	0.021739130434782608	0.9755244755244755
0.9500000000000001	0.021739130434782608	0.9737762237762237
0.9600000000000001	0.019927536231884056	0.9702797202797203
0.97	0.019927536231884056	0.9685314685314685
0.98	0.019927536231884056	0.9667832167832168
0.99	0.018115942028985508	0.9667832167832168
